Problem,time,z3 Result
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0031.smt2,0.030387,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0032.smt2,0.009271,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0033.smt2,0.023263,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0034.smt2,0.037426,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0035.smt2,0.020933,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0036.smt2,0.026936,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0039.smt2,0.031149,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0040.smt2,0.009579,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0041.smt2,0.011129,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0043.smt2,0.012771,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0044.smt2,0.007818,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0045.smt2,0.011858,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0046.smt2,0.028125,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0047.smt2,0.042022,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0010.smt2,0.00941,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0011.smt2,0.008868,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0012.smt2,0.015359,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2,0.027286,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0015.smt2,0.016625,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0016.smt2,0.01016,unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0017.smt2,0.011965,sat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0018.smt2,0.027674,sat
