Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
zankl/matrix-5-all-20.smt2,107,70,493,500.071,487.516,0.927851,0.033997,1.21981,0.731887,0.054991,1128.0,2424.0,1697.0,2606.0,1107.0,1499.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-21.smt2,66,65,114,511.945,430.36,0.257957,0.0,0.004999,39.9989,0.001,232.0,54.0,27.0,104.0,104.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-23.smt2,137,42,184,0.091986,0.049993,0.0,0.0,0.001999,0.0,0.0,642.0,0.0,4.0,2.0,0.0,2.0,0.0,unknown,unsat,0,0
zankl/matrix-5-all-25.smt2,107,15,184,500.003,225.567,20.8568,0.342944,24.4663,0.55492,5.60114,1873.0,55552.0,53047.0,55658.0,3295.0,29506.0,22857.0,unknown,Timeout,0,0
zankl/matrix-5-all-27.smt2,137,47,261,0.151978,0.077989,0.0,0.0,0.001,0.0,0.0,796.0,0.0,4.0,4.0,0.0,4.0,0.0,unknown,unsat,0,0
zankl/matrix-5-all-3.smt2,156,100,348,500.413,454.996,0.831875,0.0,0.06699,40.7378,0.003998,776.0,341.0,159.0,571.0,544.0,21.0,6.0,unknown,Timeout,0,0
zankl/matrix-5-all-4.smt2,182,47,442,500.965,487.369,3.36849,0.001,0.296942,5.07124,0.007999,1038.0,960.0,383.0,1076.0,856.0,216.0,4.0,unknown,Timeout,0,0
zankl/matrix-5-all-5.smt2,173,57,360,500.128,492.269,2.91956,0.202973,1.64675,1.48678,0.105981,1161.0,7369.0,2433.0,7647.0,1336.0,6311.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-6.smt2,258,21,541,500.019,300.405,3.13751,0.236968,65.805,0.139979,2.82262,2703.0,34512.0,17423.0,34942.0,4317.0,30012.0,613.0,unknown,Timeout,0,0
zankl/matrix-5-all-7.smt2,267,141,384,503.247,490.269,7.81381,0.0,0.018996,2.28865,0.0,727.0,132.0,39.0,152.0,152.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-8.smt2,162,76,245,500.187,380.623,121.125,0.0,0.211957,2.82058,0.015997,1247.0,1555.0,438.0,1697.0,1680.0,0.0,17.0,unknown,Timeout,0,0
zankl/matrix-5-all-9.smt2,278,45,481,500.069,460.928,15.1827,0.002999,5.1922,2.31365,0.217974,1673.0,4242.0,3240.0,4622.0,1832.0,35.0,2755.0,unknown,Timeout,0,0
Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,56,EQ,NEQ
